
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:     15.3


# Contour 2, label:        9
 41.5857 -27.2727  9 
 41.8182 -27.6959  9 
 43.5995 -30.9091  9 
 45.1522 -34.5455  9 
 45.4545 -35.8255  9 
 45.965 -38.1818  9 
 45.8443 -41.8182  9 

 45.8443 -41.8182  9 
 45.4545 -42.926  9 
 43.7038 -45.4545  9 
 41.8182 -46.6269  9 
 38.1818 -47.1048  9 
 34.5455 -46.5002  9 
 31.682 -45.4545  9 
 30.9091 -45.1547  9 
 27.2727 -43.2401  9 
 24.9638 -41.8182  9 
 23.6364 -41.0833  9 
 20 -39.0539  9 
 18.312 -38.1818  9 
 16.3636 -37.3135  9 
 12.7273 -35.3863  9 
 11.4465 -34.5455  9 
 9.09091 -33.0021  9 
 6.39274 -30.9091  9 
 5.45455 -30.1343  9 
 2.24672 -27.2727  9 
 1.81818 -26.8606  9 
-1.6719 -23.6364  9 
-1.81818 -23.5087  9 
-5.45455 -20.6737  9 
-6.2699 -20  9 
-9.09091 -17.8151  9 
-10.63 -16.3636  9 
-12.7273 -14.3526  9 
-14.1268 -12.7273  9 
-16.3636 -9.97236  9 
-16.981 -9.09091  9 
-19.4027 -5.45455  9 
-20 -4.52784  9 
-21.5938 -1.81818  9 
-23.6364  1.57134  9 
-23.7779  1.81818  9 
-26.0211  5.45455  9 
-27.2727  7.2768  9 
-28.5498  9.09091  9 
-30.9091  12.3065  9 
-31.2505  12.7273  9 
-33.9708  16.3636  9 
-34.5455  17.2511  9 
-36.6313  20  9 
-38.1818  22.3448  9 
-39.1844  23.6364  9 
-41.5857  27.2727  9 
-41.8182  27.6959  9 
-43.5995  30.9091  9 
-45.1522  34.5455  9 
-45.4545  35.8255  9 
-45.965  38.1818  9 
-45.8443  41.8182  9 
-45.4545  42.926  9 
-43.7038  45.4545  9 
-41.8182  46.6269  9 
-38.1818  47.1048  9 
-34.5455  46.5002  9 
-31.682  45.4545  9 
-30.9091  45.1547  9 
-27.2727  43.2401  9 
-24.9638  41.8182  9 
-23.6364  41.0833  9 
-20  39.0539  9 
-18.312  38.1818  9 
-16.3636  37.3135  9 
-12.7273  35.3863  9 
-11.4465  34.5455  9 
-9.09091  33.0021  9 
-6.39274  30.9091  9 
-5.45455  30.1343  9 
-2.24672  27.2727  9 
-1.81818  26.8606  9 
 1.6719  23.6364  9 
 1.81818  23.5087  9 
 5.45455  20.6737  9 
 6.2699  20  9 
 9.09091  17.8151  9 
 10.63  16.3636  9 
 12.7273  14.3526  9 
 14.1268  12.7273  9 
 16.3636  9.97236  9 
 16.981  9.09091  9 
 19.4027  5.45455  9 
 20  4.52784  9 
 21.5938  1.81818  9 
 23.6364 -1.57134  9 
 23.7779 -1.81818  9 
 26.0211 -5.45455  9 
 27.2727 -7.2768  9 
 28.5498 -9.09091  9 
 30.9091 -12.3065  9 
 31.2505 -12.7273  9 
 33.9708 -16.3636  9 
 34.5455 -17.2511  9 
 36.6313 -20  9 
 38.1818 -22.3448  9 
 39.1844 -23.6364  9 
 41.5857 -27.2727  9 


# Contour 3, label:        6
-132.52  63.6364  6 
-132.727  63.365  6 
-136.085  60  6 
-136.364  59.8154  6 
-140  58.152  6 
-143.636  57.3914  6 
-147.273  57.7098  6 
-150.909  59.3699  6 
-151.605  60  6 
-154.377  63.6364  6 
-154.545  64.0174  6 
-155.432  67.2727  6 
-155.849  70.9091  6 
-155.716  74.5455  6 
-154.906  78.1818  6 
-154.545  78.9714  6 
-152.553  81.8182  6 
-150.909  83.5754  6 
-147.994  85.4545  6 
-147.273  85.8648  6 
-143.636  86.6002  6 
-140  86.0176  6 
-138.951  85.4545  6 
