
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
-27.2727  33.2408  6 
-30.9091  32.8085  6 
-33.8263  30.9091  6 
-34.5455  29.2708  6 
-34.9917  27.2727  6 
-34.9342  23.6364  6 
-34.5455  21.1793  6 
-34.3795  20  6 
-33.4398  16.3636  6 
-32.0672  12.7273  6 
-30.9091  10.4747  6 
-30.1519  9.09091  6 
-27.6497  5.45455  6 
-27.2727  4.97935  6 
-24.6785  1.81818  6 
-23.6364  0.56755  6 
-21.8103 -1.81818  6 
-20 -4.38035  6 
-19.3301 -5.45455  6 
-16.8227 -9.09091  6 
-16.3636 -9.68758  6 
-13.9542 -12.7273  6 
-12.7273 -14.1048  6 
-10.5442 -16.3636  6 
-9.09091 -17.7876  6 
-6.66762 -20  6 
-5.45455 -21.1586  6 
-2.92577 -23.6364  6 
-1.81818 -24.8263  6 
 0.298464 -27.2727  6 
 1.81818 -29.0013  6 
 3.53329 -30.9091  6 
 5.45455 -32.9133  6 
 7.20772 -34.5455  6 
 9.09091 -36.2417  6 
 11.627 -38.1818  6 
 12.7273 -39.0707  6 
 16.3636 -41.6774  6 
 16.5662 -41.8182  6 
 20 -44.8253  6 
 20.6586 -45.4545  6 
 23.6364 -48.5401  6 
 24.1946 -49.0909  6 
 27.2727 -52.0937  6 
 28.0113 -52.7273  6 
 30.9091 -55.1344  6 
 32.6167 -56.3636  6 
 34.5455 -57.7813  6 
 37.8073 -60  6 
 38.1818 -60.2907  6 
 41.8182 -63.305  6 
 42.1991 -63.6364  6 
 45.4545 -66.7691  6 
 46.0232 -67.2727  6 
 49.0909 -70.1966  6 
 50.0244 -70.9091  6 
 52.7273 -73.283  6 
 54.7869 -74.5455  6 
 56.3636 -75.8801  6 
 60 -78.0817  6 
 60.1714 -78.1818  6 
 62.1787 -81.8182  6 
 61.1595 -85.4545  6 
 60 -86.9355  6 
 58.586 -89.0909  6 
 56.3636 -91.3877  6 
 55.3327 -92.7273  6 

 85.5942 -180  6 
 89.0909 -178.427  6 
 92.7273 -176.535  6 
 93.0326 -176.364  6 
 96.3636 -174.566  6 
 99.9231 -172.727  6 
 100 -172.687  6 
 103.636 -170.84  6 
 107.104 -169.091  6 
 107.273 -169.001  6 
 110.909 -166.978  6 
 113.477 -165.455  6 
 114.545 -164.775  6 
 118.182 -162.222  6 
 118.661 -161.818  6 
 121.818 -158.595  6 
 122.16 -158.182  6 
 124.511 -154.545  6 
 125.455 -152.805  6 
 126.407 -150.909  6 
 127.979 -147.273  6 
 129.091 -144.473  6 
 129.404 -143.636  6 
 130.685 -140  6 
 131.963 -136.364  6 
 132.727 -134.167  6 
 133.213 -132.727  6 
 134.438 -129.091  6 
 135.719 -125.455  6 
 136.364 -123.71  6 
 137.084 -121.818  6 
 138.706 -118.182  6 
 140 -115.754  6 
 140.701 -114.545  6 
 142.767 -110.909  6 
 143.636 -109.256  6 
 144.659 -107.273  6 
 146.271 -103.636  6 
 147.273 -100.778  6 
 147.523 -100  6 
 148.202 -96.3636  6 
 148.348 -92.7273  6 
 147.905 -89.0909  6 
 147.273 -86.9559  6 
 146.64 -85.4545  6 
 144.118 -81.8182  6 
 143.636 -81.2875  6 
 140 -78.256  6 
 139.897 -78.1818  6 
 136.364 -75.7682  6 
 134.362 -74.5455  6 
 132.727 -73.5467  6 
 129.091 -71.4003  6 
 128.152 -70.9091  6 
 125.455 -69.3476  6 
 121.818 -67.639  6 
 119.12 -67.2727  6 
 118.182 -67.164  6 
 117.726 -67.2727  6 
 114.545 -68.1058  6 
 110.909 -69.6917  6 
 108.26 -70.9091  6 
 107.273 -71.3599  6 
 103.636 -72.9828  6 
 100 -74.2879  6 
 99.0672 -74.5455  6 
 96.3636 -75.3659  6 
 92.7273 -75.9492  6 
 89.0909 -75.8743  6 
 85.4545 -75.1544  6 
 83.7368 -74.5455  6 
 81.8182 -73.9534  6 
 78.1818 -72.0359  6 
 77.0146 -70.9091  6 
 74.6256 -67.2727  6 
 74.5455 -67.1134  6 
 73.4369 -63.6364  6 
 72.5576 -60  6 
 71.6293 -56.3636  6 
 70.9091 -54.3236  6 
 70.3718 -52.7273  6 
 68.6847 -49.0909  6 
 67.2727 -46.6676  6 
 66.5641 -45.4545  6 
 64.201 -41.8182  6 
 63.6364 -40.9978  6 
 61.7893 -38.1818  6 
 60 -35.4585  6 
 59.4251 -34.5455  6 
 56.9319 -30.9091  6 
 56.3636 -30.1524  6 
 54.0903 -27.2727  6 
 52.7273 -25.7358  6 
 50.7504 -23.6364  6 
 49.0909 -22.0049  6 
 47.0604 -20  6 
 45.4545 -18.3885  6 
 43.6806 -16.3636  6 
 41.8182 -14.1661  6 


# Contour 3, label:        3
-41.2404  136.364  3 
-41.8182  135.076  3 
-42.9556  132.727  3 
-45.0697  129.091  3 
-45.4545  128.519  3 
-47.749  125.455  3 
-49.0909  123.861  3 
