i dih1 dih2 Mu(D) Ene(Eh) VBA(eV) DBA(eV)
172 160 -160 -648.15445391 1.6190 -1.4954 0.0061
173 160 -140 -648.15595694 1.6563 -1.5068 0.0058
174 160 -120 -648.15772970 1.5610 -1.5332 0.0056
175 160 -100 -648.15854682 1.5085 -1.5588 0.0051
176 160 -80 -648.15764447 1.4353 -1.5549 0.0047
177 160 -60 -648.15400841 1.4818 -1.5358 0.0037
178 160 -40 -648.14860035 1.7788 -1.4810 -0.0003
179 160 -20 -648.14363176 2.0127 -1.4102 -0.0047
180 160 0 -648.13826328 2.2841 -1.3242 -0.0105
181 180 -180 -648.13470453 2.5336 -1.2649 -0.0158
182 180 -160 0 0 0 0
183 180 -140 0 0 0 0
184 180 -120 0 0 0 0
185 180 -100 0 0 0 0
186 180 -80 0 0 0 0
187 180 -60 0 0 0 0
188 180 -40 0 0 0 0
189 180 -20 0 0 0 0
190 180 0 0 0 0 0
