
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:5"

# Contour 0, label:     3.15
 -71.9028  2.5 
 -71.2958  2.5 
 -70.9091  2.5 
 -67.2727  2.5 
 -63.6364  2.5 
 -60  2.5 
 -56.3636  2.5 
 -54.8104  2.5 
 -52.7273  2.5 
 -51.6513  2.5 
 -51.2691  2.5 
 -52.7273  2.5 
 -53.628  2.5 
 -56.3636  2.5 
 -60  2.5 

 -45.4545  2.5 
 -45.9645  2.5 
 -49.0909  2.5 
 -49.574  2.5 
 -50.6572  2.5 
 -49.5786  2.5 
 -49.0909  2.5 
 -45.4545  2.5 
 -41.8182  2.5 
 -38.1818  2.5 
 -36.6155  2.5 
 -34.5455  2.5 
 -31.3833  2.5 
 -30.9091  2.5 
 -30.2185  2.5 
 -30.4894  2.5 
 -30.9091  2.5 
 -34.5455  2.5 
 -38.1818  2.5 
 -41.8182  2.5 
 -45.4545  2.5 

 -16.3636  2.5 
 -19.969  2.5 
 -20  2.5 
 -23.6364  2.5 
 -27.1026  2.5 
 -27.2727  2.5 
 -29.1682  2.5 
 -29.8996  2.5 
 -28.3387  2.5 
 -27.2727  2.5 
 -23.6364  2.5 
 -23.2561  2.5 
 -20  2.5 
 -16.3636  2.5 
 -12.7273  2.5 
 -11.162  2.5 
 -9.11891  2.5 
 -9.09091  2.5 
 -8.49078  2.5 
 -9.06415  2.5 
 -9.09091  2.5 
 -12.7273  2.5 
 -16.3636  2.5 

 -1.81818  2.5 
 -5.09294  2.5 
 -5.45455  2.5 
 -7.52231  2.5 
 -8.36283  2.5 
 -8.53523  2.5 
 -5.45455  2.5 
 -1.81818  2.5 
  1.81818  2.5 
  5.45455  2.5 
  8.42713  2.5 
  9.09091  2.5 
  12.0405  2.5 
  12.7273  2.5 
  13.2907  2.5 
  12.7273  2.5 
  12.6959  2.5 
  9.09091  2.5 
  5.45455  2.5 
  1.81818  2.5 
 -1.81818  2.5 

  16.3636  2.5 
  13.8763  2.5 
  12.7273  2.5 
  12.4601  2.5 
  12.6923  2.5 
  12.7273  2.5 
  16.3636  2.5 
  20  2.5 
  23.6364  2.5 
  27.2727  2.5 
  30.5709  2.5 
  30.9091  2.5 
  32.4666  2.5 
  31.8932  2.5 
  30.9091  2.5 
  27.2727  2.5 
  23.6364  2.5 
  20  2.5 
  16.3636  2.5 

  45.4545  2.5 
  44.094  2.5 
  41.8182  2.5 
  38.1818  2.5 
  34.5455  2.5 
  33.7566  2.5 
  33.0946  2.5 
  34.5455  2.5 
  36.15  2.5 
  38.1818  2.5 
  41.8182  2.5 
  45.4545  2.5 
  47.0486  2.5 
  49.0909  2.5 
  51.4524  2.5 
  51.4119  2.5 
  49.0909  2.5 
  46.44  2.5 
  45.4545  2.5 

  60  2.5 
  59.0614  2.5 
  56.3636  2.5 
  53.813  2.5 
  54.0392  2.5 
  56.3636  2.5 
  60  2.5 
  63.6364  2.5 
  67.2727  2.5 
  70.8058  2.5 
  70.9091  2.5 
  71.5071  2.5 
  70.9091  2.5 
  68.8739  2.5 
  67.2727  2.5 
  63.6364  2.5 
  60  2.5 

  78.1818  2.5 
  76.1803  2.5 
  74.5455  2.5 
  72.9927  2.5 
  72.5965  2.5 
  74.5455  2.5 
  78.1818  2.5 
  81.8182  2.5 
  84.5223  2.5 
  85.4545  2.5 
  89.0909  2.5 
  92.7273  2.5 
  94.0351  2.5 
  96.3636  2.5 
  97.9775  2.5 
  96.866  2.5 
  96.3636  2.5 
  92.7273  2.5 
  92.652  2.5 
  89.0909  2.5 
  85.4545  2.5 
  81.8182  2.5 
  78.1818  2.5 

 -180  2.5 
 -176.364  2.5 
 -175.846  2.5 
 -172.727  2.5 
 -169.091  2.5 
 -168.602  2.5 
 -165.455  2.5 
 -161.818  2.5 
 -158.444  2.5 
 -158.182  2.5 
 -154.545  2.5 
 -150.909  2.5 
 -147.273  2.5 
 -143.636  2.5 
 -140  2.5 
 -136.364  2.5 
 -132.727  2.5 
 -131.316  2.5 
 -129.091  2.5 
 -125.455  2.5 
 -121.818  2.5 
 -119.935  2.5 
