
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
-86.9956  62.0168  300 
-88.3535  65.042  300 
-89.2437  67.1406  300 
-89.6404  68.0672  300 
-90.7386  71.0924  300 
-91.5474  74.1176  300 
-91.9563  77.1429  300 
-91.8638  80.1681  300 
-91.1459  83.1933  300 
-89.6188  86.2185  300 
-89.2437  86.7145  300 
-86.752  89.2437  300 
-86.2185  89.6532  300 
-83.1933  91.2425  300 
-80.1681  92.0444  300 
-77.1429  92.2379  300 
-74.1176  91.9413  300 
-71.0924  91.2469  300 
-68.0672  90.2561  300 
-65.4698  89.2437  300 
-65.042  89.0768  300 
-62.0168  87.8012  300 
-58.9916  86.5309  300 
-58.2364  86.2185  300 
-55.9664  85.2894  300 
-52.9412  84.0968  300 
-50.6149  83.1933  300 
-49.916  82.9251  300 
-46.8908  81.7564  300 
-43.8655  80.5876  300 
-42.7809  80.1681  300 
-40.8403  79.4153  300 
-37.8151  78.2604  300 
-34.8831  77.1429  300 
-34.7899  77.1065  300 
-31.7647  75.9185  300 
-28.7395  74.6978  300 
-27.3412  74.1176  300 
-25.7143  73.4146  300 
-22.6891  72.0582  300 
-20.6178  71.0924  300 
-19.6639  70.6324  300 
-16.6387  69.155  300 
-14.4276  68.0672  300 
-13.6134  67.6605  300 
-10.5882  66.1441  300 
-8.43052  65.042  300 
-7.56303  64.5911  300 
-4.53782  62.9615  300 
-2.87904  62.0168  300 
-1.51261  61.2037  300 
 1.51261  59.2115  300 
 1.81825  58.9916  300 
 4.53782  56.9276  300 
 5.76162  55.9664  300 
 7.56303  54.5208  300 
 9.51838  52.9412  300 
 10.5882  52.0728  300 
 13.2714  49.916  300 
 13.6134  49.6409  300 
 16.6387  47.2429  300 
 17.0898  46.8908  300 
 19.6639  44.8528  300 
 20.9149  43.8655  300 
 22.6891  42.417  300 
 24.6089  40.8403  300 
 25.7143  39.8836  300 
 28.0914  37.8151  300 
 28.7395  37.2163  300 
 31.3132  34.7899  300 
 31.7647  34.3373  300 
 34.2224  31.7647  300 
 34.7899  31.1424  300 
 36.8609  28.7395  300 
 37.8151  27.6096  300 
 39.3311  25.7143  300 
 40.8403  23.8231  300 
 41.7046  22.6891  300 
 43.8655  19.8587  300 
 44.0098  19.6639  300 
 46.2785  16.6387  300 
 46.8908  15.8324  300 
