
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$6)"

# Contour 0, label:      1.3
 37.282  30.9091  1.5 
 38.1818  30.1444  1.5 
 41.6898  27.2727  1.5 
 41.8182  27.1638  1.5 
 45.4545  23.6667  1.5 
 45.483  23.6364  1.5 
 48.3885  20  1.5 
 49.0909  18.9858  1.5 
 51.0279  16.3636  1.5 
 52.7273  14.1205  1.5 
 53.9839  12.7273  1.5 
 56.3636  10.2096  1.5 
 57.664  9.09091  1.5 
 60  6.96222  1.5 
 61.7793  5.45455  1.5 
 63.6364  3.48884  1.5 
 65.1419  1.81818  1.5 
 67.2727 -1.72955  1.5 
 67.3271 -1.81818  1.5 
 68.8287 -5.45455  1.5 
 69.7724 -9.09091  1.5 
 70.2805 -12.7273  1.5 
 70.4058 -16.3636  1.5 
 70.1988 -20  1.5 
 69.718 -23.6364  1.5 
 69.021 -27.2727  1.5 
 68.1602 -30.9091  1.5 

 68.1602 -30.9091  1.5 
 67.2727 -34.2376  1.5 
 67.2 -34.5455  1.5 
 66.2673 -38.1818  1.5 
 65.3854 -41.8182  1.5 
 64.5767 -45.4545  1.5 
 63.7206 -49.0909  1.5 
 63.6364 -49.3859  1.5 
 62.6392 -52.7273  1.5 
 61.1634 -56.3636  1.5 
 60 -58.3586  1.5 
 58.6047 -60  1.5 
 56.3636 -61.6838  1.5 
 52.7996 -63.6364  1.5 
 52.7273 -63.671  1.5 
 49.0909 -65.0965  1.5 
 45.4545 -66.3215  1.5 
 42.3032 -67.2727  1.5 
 41.8182 -67.4265  1.5 
 38.1818 -68.5052  1.5 
 34.5455 -69.5394  1.5 
 30.9091 -70.477  1.5 
 28.871 -70.9091  1.5 
 27.2727 -71.3019  1.5 
 23.6364 -71.9596  1.5 
 20 -72.337  1.5 
 16.3636 -72.351  1.5 
 12.7273 -71.9616  1.5 
 9.09091 -71.1552  1.5 
 8.37276 -70.9091  1.5 
 5.45455 -70.0025  1.5 
 1.81818 -68.403  1.5 
-0.0164331 -67.2727  1.5 
-1.81818 -66.2017  1.5 
-4.86908 -63.6364  1.5 
-5.45455 -63.1347  1.5 
-8.42958 -60  1.5 
-9.09091 -59.3456  1.5 
-11.8924 -56.3636  1.5 
-12.7273 -55.6075  1.5 
-15.928 -52.7273  1.5 
-16.3636 -52.3879  1.5 
-20 -49.5121  1.5 
-20.4977 -49.0909  1.5 
-23.6364 -46.4404  1.5 
-24.6332 -45.4545  1.5 
-27.2727 -42.667  1.5 
-27.9974 -41.8182  1.5 
-30.9091 -38.4077  1.5 
-31.103 -38.1818  1.5 
-34.5455 -34.6893  1.5 
-34.7075 -34.5455  1.5 
-38.1818 -31.8215  1.5 
-39.5168 -30.9091  1.5 
-41.8182 -29.3429  1.5 
-44.7651 -27.2727  1.5 
-45.4545 -26.7375  1.5 
-49.0517 -23.6364  1.5 
-49.0909 -23.5971  1.5 
-52.604 -20  1.5 
-52.7273 -19.8665  1.5 
-56.2682 -16.3636  1.5 
-56.3636 -16.2731  1.5 
-60 -13.4427  1.5 
-61.1511 -12.7273  1.5 
-63.6364 -11.0484  1.5 
-66.691 -9.09091  1.5 
-67.2727 -8.65037  1.5 
-70.9091 -5.82645  1.5 
-71.3663 -5.45455  1.5 
-74.5455 -2.17951  1.5 
-74.8872 -1.81818  1.5 
-77.814  1.81818  1.5 
-78.1818  2.33463  1.5 
-80.6604  5.45455  1.5 
-81.8182  7.34525  1.5 
-82.9205  9.09091  1.5 
-84.3904  12.7273  1.5 
-85.054  16.3636  1.5 
-84.9956  20  1.5 
-84.2788  23.6364  1.5 
-83.0618  27.2727  1.5 
-81.8182  30.2083  1.5 
-81.535  30.9091  1.5 
-79.8454  34.5455  1.5 
-78.1818  37.9314  1.5 
-78.0644  38.1818  1.5 
-76.223  41.8182  1.5 
-74.5455  45.1275  1.5 
-74.3908  45.4545  1.5 
-72.6109  49.0909  1.5 
-70.9091  52.5123  1.5 
-70.8064  52.7273  1.5 
-68.816  56.3636  1.5 
-67.2727  58.6621  1.5 
-66.2966  60  1.5 
-63.6364  62.6071  1.5 
-62.2142  63.6364  1.5 
-60  64.8908  1.5 

-180 -11.1601  1.5 
-176.364 -11.2017  1.5 
-172.727 -10.776  1.5 
-169.091 -9.82155  1.5 
-167.364 -9.09091  1.5 
-165.455 -7.82574  1.5 
-162.949 -5.45455  1.5 
-161.818 -2.80309  1.5 
-161.495 -1.81818  1.5 
-161.818 -0.169397  1.5 
-162.27  1.81818  1.5 
-164.96  5.45455  1.5 
-165.455  5.89725  1.5 
-169.037  9.09091  1.5 
-169.091  9.12982  1.5 
-172.727  11.6022  1.5 
-174.539  12.7273  1.5 
-176.364  13.6945  1.5 
-180  15.1274  1.5 

 12.0159  180  1.5 
 10.2634  176.364  1.5 
 9.09091  174.54  1.5 
 7.46442  172.727  1.5 
 5.45455  170.966  1.5 
 1.81818  169.233  1.5 
 0.848803  169.091  1.5 
-1.81818  168.738  1.5 
-4.54235  169.091  1.5 
-5.45455  169.209  1.5 
-9.09091  170.588  1.5 
-12.6987  172.727  1.5 
-12.7273  172.746  1.5 
-16.3636  175.887  1.5 
-16.7975  176.364  1.5 
-19.56  180  1.5 

 12.1991 -180  1.5 
 12.159 -176.364  1.5 
 11.6664 -172.727  1.5 
 10.6418 -169.091  1.5 
 9.09091 -165.659  1.5 
 8.96474 -165.455  1.5 
 5.92417 -161.818  1.5 
 5.45455 -161.372  1.5 
 1.81818 -159.105  1.5 
-1.38242 -158.182  1.5 
-1.81818 -158.071  1.5 
-4.90375 -158.182  1.5 
-5.45455 -158.204  1.5 
-9.09091 -159.605  1.5 
-11.9941 -161.818  1.5 
-12.7273 -162.526  1.5 
-14.7122 -165.455  1.5 
-16.3636 -168.871  1.5 
-16.4436 -169.091  1.5 
-17.3658 -172.727  1.5 
-17.8896 -176.364  1.5 
-18.0108 -180  1.5 

 180 -11.0782  1.5 
 176.364 -12.3561  1.5 
 174.139 -12.7273  1.5 
 172.727 -12.9114  1.5 
 169.091 -12.8907  1.5 
