i dih1 dih2 Mu(D) Ene(Eh) VBA(eV) DBA(eV)
201 20 20 -842.88825191 1.8069 -1.3954 -0.0022
202 20 40 -842.89293586 1.4121 -1.4558 0.0018
203 20 60 0 0 0 0
204 20 80 0 0 0 0
205 20 100 0 0 0 0
206 20 120 -842.90230308 1.7922 -1.5725 0.0039
207 20 140 -842.90139652 2.2299 -1.5529 0.0018
208 20 160 -842.89972202 2.6163 -1.5316 -0.0001
209 20 180 -842.89956280 2.9667 -1.5154 -0.0022
210 40 -180 -842.90029259 3.2112 -1.5687 -0.0045
211 40 -160 -842.90232796 3.3857 -1.5770 -0.0067
212 40 -140 -842.90338551 3.2455 -1.6018 -0.0068
213 40 -120 -842.90325032 3.0113 -1.6193 -0.0060
214 40 -100 -842.90003283 2.6620 -1.5963 -0.0047
215 40 -80 -842.89313212 2.2927 -1.5483 -0.0037
216 40 -60 -842.88599027 2.2961 -1.4639 -0.0063
217 40 -40 -842.88162793 2.4654 -1.3779 -0.0096
218 40 -20 -842.88385499 2.3312 -1.3870 -0.0075
219 40 0 -842.88821942 1.9934 -1.4167 -0.0033
220 40 20 -842.89263849 1.6175 -1.4608 0.0005
221 40 40 0 0 0 0
222 40 60 0 0 0 0
223 40 80 0 0 0 0
224 40 100 0 0 0 0
225 40 120 0 0 0 0
226 40 140 -842.90118661 2.3168 -1.6007 0.0015
227 40 160 -842.90024277 2.7929 -1.5801 -0.0014
228 40 180 -842.90028627 3.2158 -1.5663 -0.0045
229 60 -180 -842.89978303 3.3784 -1.6217 -0.0060
230 60 -160 -842.90113799 3.5602 -1.6323 -0.0085
231 60 -140 -842.90140496 3.4510 -1.6579 -0.0088
232 60 -120 -842.90091334 3.2765 -1.6774 -0.0087
233 60 -100 -842.89776139 2.8928 -1.6560 -0.0070
234 60 -80 -842.89083973 2.5464 -1.5964 -0.0059
235 60 -60 -842.88518707 2.5508 -1.5044 -0.0079
236 60 -40 -842.88629536 2.4029 -1.4736 -0.0066
237 60 -20 -842.88954249 2.1295 -1.4651 -0.0035
238 60 0 -842.89309178 1.8248 -1.4800 -0.0003
239 60 20 0 0 0 0
240 60 40 0 0 0 0
241 60 60 0 0 0 0
242 60 80 0 0 0 0
243 60 100 0 0 0 0
244 60 120 0 0 0 0
245 60 140 -842.90017123 2.4191 -1.6559 0.0009
246 60 160 -842.89965163 2.9313 -1.6349 -0.0023
247 60 180 -842.89979829 3.3708 -1.6209 -0.0059
248 80 -180 -842.90013672 3.4079 -1.6655 -0.0063
249 80 -160 -842.90110668 3.6177 -1.6774 -0.0091
250 80 -140 -842.90071010 3.4891 -1.7043 -0.0091
251 80 -120 -842.89950875 3.2991 -1.7223 -0.0084
252 80 -100 -842.89595162 2.9767 -1.6996 -0.0071
253 80 -80 -842.89022614 2.7150 -1.6394 -0.0064
254 80 -60 -842.89102791 2.5213 -1.6026 -0.0049
255 80 -40 -842.89347199 0 -1.5551 -0.0030
256 80 -20 -842.89588923 1.9398 -1.5266 0.0001
257 80 0 0 0 0 0
258 80 20 0 0 0 0
259 80 40 0 0 0 0
260 80 60 0 0 0 0
261 80 80 0 0 0 0
262 80 100 0 0 0 0
263 80 120 0 0 0 0
