
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      600
-164.623  161.772  100 
-164.981  157.215  100 
-166.329  155.361  100 
-168.411  152.658  100 
-170.886  150.433  100 
-173.862  148.101  100 
-175.443  146.839  100 
-179.783  143.544  100 
-180  143.253  100 

-177.993 -180  100 
-180 -179.061  100 

-84.6488  180  100 
-88.8608  177.204  100 
-91.2451  175.443  100 
-93.4177  173.671  100 
-96.9467  170.886  100 
-97.9747  169.924  100 
-102.532  166.348  100 
-102.563  166.329  100 
-107.089  163.003  100 
-109.497  161.772  100 
-111.646  160.15  100 
-115.824  157.215  100 
-116.203  156.391  100 
-117.238  152.658  100 
-117.839  148.101  100 
-119.176  143.544  100 
-120.759  140.991  100 
-121.789  138.987  100 
-125.316  134.747  100 
-125.543  134.43  100 
-129.603  129.873  100 
-129.873  129.561  100 
-133.736  125.316  100 
-134.43  124.323  100 
-137.614  120.759  100 
-138.987  117.935  100 
-140.185  116.203  100 
-140.988  111.646  100 
-140.386  107.089  100 
-139.211  102.532  100 
-138.987  101.771  100 
-138.29  97.9747  100 
-137.555  93.4177  100 
-136.915  88.8608  100 
-136.421  84.3038  100 
-136.475  79.7468  100 
-137.922  75.1899  100 
-138.987  72.5873  100 
-143.544  70.913  100 
-148.101  73.7559  100 
-149.146  75.1899  100 
-152.658  79.555  100 
-152.795  79.7468  100 
-156.515  84.3038  100 
-157.215  85.0637  100 
-161.772  88.6711  100 
-162.087  88.8608  100 
-166.329  92.037  100 
-168.288  93.4177  100 
-170.886  96.4712  100 
-172.179  97.9747  100 
-173.272  102.532  100 
-171.856  107.089  100 
-170.886  108.828  100 
-168.825  111.646  100 
-166.329  115.682  100 
-165.823  116.203  100 
-166.329  117.661  100 
-167.166  120.759  100 
-170.886  123.515  100 
-172.542  125.316  100 
-175.443  127.601  100 
-177.806  129.873  100 
-180  132.373  100 

-55.1008 -180  100 
-56.962 -179.182  100 
-61.519 -177.838  100 
-66.0759 -177.419  100 
-70.6329 -177.581  100 
-75.1899 -178.16  100 
-79.7468 -179.044  100 
-83.5554 -180  100 

-52.4051  177.291  100 
-54.4689  180  100 

-26.378  180  100 
-27.686  175.443  100 
-28.5652  170.886  100 
-28.2338  166.329  100 
-25.7626  161.772  100 
-25.0633  161.198  100 
-20.6131  157.215  100 
-20.5063  157.157  100 
-15.9494  154.86  100 
-11.3924  152.77  100 
-11.1216  152.658  100 
-6.83544  151.169  100 
-2.27848  149.992  100 
 2.27848  149.326  100 
 6.83544  149.159  100 
 11.3924  149.449  100 
 15.9494  150.124  100 
 20.5063  151.115  100 
 25.0633  152.403  100 
 25.9798  152.658  100 
 29.6203  154.017  100 
 34.1772  155.31  100 
 38.7342  155.405  100 
 43.2911  153.39  100 
 44.1143  152.658  100 
 47.8481  149.521  100 
 49.1326  148.101  100 
 52.4051  143.712  100 
 52.5284  143.544  100 
 54.7643  138.987  100 
 55.6751  134.43  100 
 55.6687  129.873  100 
 55.1851  125.316  100 
 54.6677  120.759  100 
 54.4162  116.203  100 
 54.2377  111.646  100 
 53.8959  107.089  100 
 53.3307  102.532  100 
 52.6007  97.9747  100 
 52.4051  96.9862  100 
 51.7895  93.4177  100 
 50.8785  88.8608  100 
 49.9805  84.3038  100 
 49.2341  79.7468  100 
 48.5956  75.1899  100 
 47.8481  71.0718  100 
 47.7309  70.6329  100 
 45.1669  66.0759  100 
 43.2911  64.804  100 
 38.7342  64.4712  100 
 34.1772  65.6969  100 
 33.3311  66.0759  100 
 29.6203  67.7811  100 
 25.0633  70.2933  100 
 24.5813  70.6329  100 
 20.5063  73.421  100 
 18.0733  75.1899  100 
 15.9494  76.6411  100 
 11.3924  79.6456  100 
 11.2338  79.7468  100 
 6.83544  82.5246  100 
 3.6383  84.3038  100 
 2.27848  85.086  100 
-2.27848  87.5834  100 
-4.85735  88.8608  100 
-6.83544  89.8896  100 
-11.3924  91.9894  100 
-15.1309  93.4177  100 
-15.9494  93.7597  100 
-20.5063  95.46  100 
-25.0633  96.9637  100 
-28.3486  97.9747  100 
-29.6203  98.441  100 
-34.1772  100.104  100 
-38.7342  101.857  100 
-40.1971  102.532  100 
-43.2911  104.463  100 
-47.0349  107.089  100 
-47.8481  107.923  100 
-51.1175  111.646  100 
-52.4051  114.084  100 
-53.4656  116.203  100 
-54.8358  120.759  100 
-55.7332  125.316  100 
-56.1381  129.873  100 
-55.9518  134.43  100 
-55.2326  138.987  100 
-54.1497  143.544  100 
-52.5803  148.101  100 
-52.4051  148.549  100 
-50.6499  152.658  100 
-48.7326  157.215  100 
-47.8481  160.514  100 
-47.3649  161.772  100 
-47.2028  166.329  100 
-47.8481  168.162  100 
-48.6746  170.886  100 
-51.1724  175.443  100 
-52.4051  177.291  100 

 89.7352 -180  100 
 88.8608 -179.616  100 
 84.3038 -177.53  100 
 79.8142 -175.443  100 
 79.7468 -175.408  100 
 75.1899 -173.255  100 
 70.6329 -171.694  100 
 66.0759 -171.104  100 
 61.519 -171.633  100 
 56.962 -173.155  100 
 52.4051 -175.244  100 
 51.9712 -175.443  100 
 47.8481 -177.153  100 
 43.2911 -178.437  100 
 38.7342 -178.72  100 
 34.1772 -177.901  100 
 29.6203 -176.501  100 
 26.7869 -175.443  100 
 25.0633 -174.841  100 
 20.5063 -173.278  100 
 15.9494 -171.967  100 
 11.3924 -170.928  100 
