
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
 16.3636  10.3217  6 
 13.6283  12.7273  6 
 12.7273  13.4733  6 
 9.09091  16.2936  6 
 8.98861  16.3636  6 
 5.45455  18.7946  6 
 3.4536  20  6 
 1.81818  21.0627  6 
-1.81818  23.4828  6 
-2.04278  23.6364  6 
-5.45455  25.9511  6 
-7.55593  27.2727  6 
-9.09091  28.1849  6 
-12.7273  30.0044  6 
-15.1167  30.9091  6 
-16.3636  31.3748  6 
-20  32.2992  6 
-23.6364  32.8852  6 
-27.2727  33.1  6 
-30.9091  32.559  6 
-33.3272  30.9091  6 
-34.5455  27.8621  6 
-34.669  27.2727  6 
-34.6474  23.6364  6 
-34.5455  23.0078  6 
-34.1237  20  6 
-33.2276  16.3636  6 
-31.8551  12.7273  6 
-30.9091  10.9142  6 
-29.9219  9.09091  6 
-27.4908  5.45455  6 
-27.2727  5.16047  6 
-24.6742  1.81818  6 
-23.6364  0.491269  6 
-21.9322 -1.81818  6 
-20 -4.58812  6 
-19.464 -5.45455  6 
-16.8787 -9.09091  6 
-16.3636 -9.71936  6 
-13.9138 -12.7273  6 
-12.7273 -14.0557  6 
-10.5436 -16.3636  6 
-9.09091 -17.8769  6 
-6.8502 -20  6 
-5.45455 -21.4008  6 
-3.19595 -23.6364  6 
-1.81818 -25.0971  6 
 0.107979 -27.2727  6 
 1.81818 -29.0949  6 
 3.52023 -30.9091  6 
 5.45455 -32.8303  6 
 7.31358 -34.5455  6 
 9.09091 -36.186  6 
 11.6145 -38.1818  6 
 12.7273 -39.1391  6 
 16.3613 -41.8182  6 
 20 -45.0231  6 
 20.4521 -45.4545  6 
 23.6364 -48.6577  6 
 24.0846 -49.0909  6 
 27.2727 -52.0807  6 
 28.0388 -52.7273  6 
 30.9091 -55.0822  6 
 32.6816 -56.3636  6 
 34.5455 -57.7526  6 
 37.8114 -60  6 
 38.1818 -60.2915  6 
 41.8182 -63.3165  6 
 42.1867 -63.6364  6 
 45.4545 -66.7556  6 
 46.0424 -67.2727  6 
 49.0909 -70.1464  6 
 50.0928 -70.9091  6 
 52.7273 -73.2185  6 
 54.8682 -74.5455  6 
 56.3636 -75.8297  6 
 60 -78.0835  6 
 60.1659 -78.1818  6 
 62.164 -81.8182  6 
 61.1763 -85.4545  6 
 60 -86.9765  6 
 58.6304 -89.0909  6 
 56.3636 -91.4453  6 
 55.3758 -92.7273  6 
 52.7273 -95.5399  6 

 85.6134 -180  6 
 89.0909 -178.49  6 
