125 -60 20 -842.89018245 1.7474 -1.4211 0.0000
126 -60 40 -842.88696774 1.9097 -1.4327 -0.0016
127 -60 60 -842.88592801 2.0064 -1.4749 -0.0020
128 -60 80 -842.89175418 2.0563 -1.5862 -0.0001
129 -60 100 -842.89785758 2.4393 -1.6552 -0.0017
130 -60 120 -842.89980504 2.7566 -1.6802 -0.0034
131 -60 140 -842.89999087 2.9924 -1.6560 -0.0044
132 -60 160 -842.89975837 3.1310 -1.6318 -0.0039
133 -60 180 -842.90025300 3.1519 -1.6111 -0.0025

134 -40 -180 -842.90086956 3.0657 -1.5542 -0.0019
135 -40 -160 -842.90231988 2.8774 -1.5673 -0.0003
136 -40 -140 -842.90294444 2.4492 -1.5931 0.0020
137 -40 -120 -842.90263666 1.9187 -1.6186 0.0044
138 -40 -100 -842.90158406 1.4676 -1.6210 0.0058
139 -40 -80 -842.90049732 1.1763 -1.6070 0.0061
140 -40 -60 -842.89958609 1.0521 -1.5862 0.0059
141 -40 -40 -842.89665087 1.1314 -1.5474 0.0054
142 -40 -20 -842.89269198 1.5632 -1.4438 0.0014
143 -40 0 -842.88842028 1.8485 -1.3823 -0.0016
144 -40 20 -842.88431644 2.0752 -1.3394 -0.0044
145 -40 40 -842.88240444 2.0929 -1.3441 -0.0049
146 -40 60 -842.88705189 1.8312 -1.4478 -0.0011
147 -40 80 -842.89405918 1.8154 -1.5385 0.0015
148 -40 100 -842.89998414 2.1938 -1.5942 0.0002
149 -40 120 -842.90202109 2.5663 -1.6232 -0.0018
150 -40 140 -842.90180124 2.8227 -1.6026 -0.0030
151 -40 160 -842.90072712 2.9866 -1.5784 -0.0028
152 -40 180 -842.90083364 3.0633 -1.5545 -0.0019

153 -20 -180 -842.90012932 2.9289 -1.5036 -0.0012
154 -20 -160 -842.90215382 2.8332 -1.5135 -0.0004
155 -20 -140 -842.90332232 2.4908 -1.5422 0.0012
156 -20 -120 -842.90350777 2.0564 -1.5701 0.0031
157 -20 -100 -842.90259425 1.6836 -1.5730 0.0042
158 -20 -80 -842.90038410 1.3822 -1.5619 0.0047
159 -20 -60 -842.89726049 1.2735 -1.5406 0.0043
160 -20 -40 -842.89249760 1.5708 -1.4550 0.0009
161 -20 -20 -842.88801356 1.8428 -1.3805 -0.0024
162 -20 0 -842.88308908 2.1829 -1.3068 -0.0069
163 -20 20 -842.88030877 2.3399 -1.2705 -0.0092
164 -20 40 -842.88431439 1.9197 -1.3521 -0.0036
165 -20 60 -842.89019760 1.6235 -1.4417 0.0006
166 -20 80 -842.89642010 1.5934 -1.5108 0.0029
167 -20 100 -842.90132013 1.9029 -1.5535 0.0022
168 -20 120 -842.90281704 2.2445 -1.5755 0.0007
169 -20 140 -842.90201370 2.5535 -1.5561 -0.0008
170 -20 160 -842.90020650 2.7486 -1.5322 -0.0010
171 -20 180 -842.90008998 2.9279 -1.5007 -0.0011

172 0 -180 -842.89917644 2.8793 -1.4844 -0.0011
173 0 -160 -842.90168580 2.8792 -1.4980 -0.0013
174 0 -140 -842.90329279 2.6293 -1.5286 -0.0004
175 0 -120 -842.90387325 2.3139 -1.5543 0.0009
176 0 -100 -842.90238842 1.9691 -1.5516 0.0019
177 0 -80 -842.89830327 1.6482 -1.5317 0.0025
178 0 -60 -842.89272502 1.7246 -1.4756 0.0000
