
# Surface 0 of 1 surfaces

# Curve title: "'test.dat'"

# Contour 0, label:      565
-19.4757 -25.7143  400 
-19.6639 -25.5387  400 
-22.6891 -23.1798  400 
-23.4647 -22.6891  400 
-25.7143 -21.4238  400 
-28.7395 -19.9429  400 
-29.3048 -19.6639  400 
-31.7647 -18.532  400 
-34.7899 -16.9926  400 
-35.359 -16.6387  400 
-37.8151 -15.1479  400 
-39.7845 -13.6134  400 
-40.8403 -12.8006  400 
-43.0795 -10.5882  400 
-43.8655 -9.77759  400 
-45.5871 -7.56303  400 
-46.8908 -5.61852  400 
-47.5164 -4.53782  400 
-48.9333 -1.51261  400 
-49.916  1.22723  400 
-50.0169  1.51261  400 
-50.864  4.53782  400 
-51.5977  7.56303  400 
-52.3039  10.5882  400 
-52.9412  13.141  400 
-53.0661  13.6134  400 
-53.9426  16.6387  400 
-55.0213  19.6639  400 
-55.9664  21.8482  400 
-56.3327  22.6891  400 
-57.8044  25.7143  400 
-58.9916  27.9856  400 
-59.3784  28.7395  400 
-60.9348  31.7647  400 
-62.0168  33.8854  400 
-62.4619  34.7899  400 
-63.9066  37.8151  400 
-65.042  40.2326  400 
-65.3156  40.8403  400 
-66.6295  43.8655  400 
-67.9259  46.8908  400 
-68.0672  47.2419  400 
-69.0977  49.916  400 
-70.1901  52.9412  400 
-71.0924  55.7021  400 
-71.177  55.9664  400 
-71.9585  58.9916  400 
-72.5828  62.0168  400 
-73.0039  65.042  400 
-73.0708  68.0672  400 
-72.2609  71.0924  400 
-71.0924  72.3548  400 
-68.0672  73.3553  400 


# Contour 3, label:      300
 52.9412  7.88678  300 
 53.1879  7.56303  300 
 55.481  4.53782  300 
 55.9664  3.88036  300 
 57.6646  1.51261  300 
 58.9916 -0.491705  300 
 59.6237 -1.51261  300 
 61.3168 -4.53782  300 
 62.0168 -5.86921  300 
 62.8765 -7.56303  300 
 64.363 -10.5882  300 
 65.042 -11.9931  300 
 65.8151 -13.6134  300 
 67.2624 -16.6387  300 
 68.0672 -18.299  300 
 68.7144 -19.6639  300 
 70.1449 -22.6891  300 
 71.0924 -24.7327  300 
 71.5302 -25.7143  300 
 72.8481 -28.7395  300 
 74.1176 -31.7447  300 
 74.1258 -31.7647  300 
 75.3528 -34.7899  300 
 76.572 -37.8151  300 
 77.1429 -39.2122  300 
 77.7979 -40.8403  300 
 79.0493 -43.8655  300 
 80.1681 -46.5153  300 
 80.3274 -46.8908  300 
 81.6172 -49.916  300 
 82.9338 -52.9412  300 
 83.1933 -53.5323  300 
 84.2903 -55.9664  300 
 85.7159 -58.9916  300 
 86.2185 -60.0244  300 
 87.1952 -62.0168  300 
 88.6611 -65.042  300 
 89.2437 -66.344  300 
 90.015 -68.0672  300 
 91.1349 -71.0924  300 
 91.9123 -74.1176  300 
 92.2416 -77.1429  300 
 92.0277 -80.1681  300 
 91.1507 -83.1933  300 
 89.4362 -86.2185  300 

-75.3129  34.7899  300 
-76.5453  37.8151  300 
-77.1429  39.2568  300 
-77.7871  40.8403  300 
-79.0616  43.8655  300 
-80.1681  46.4423  300 
-80.3605  46.8908  300 
-81.6574  49.916  300 
-82.9634  52.9412  300 
-83.1933  53.4751  300 
-84.2773  55.9664  300 
-85.6232  58.9916  300 
-86.2185  60.3066  300 
-86.9957  62.0168  300 
-88.3536  65.042  300 
-89.2437  67.1405  300 
-89.6404  68.0672  300 
-90.7386  71.0924  300 
-91.5474  74.1176  300 
-91.9563  77.1429  300 
-91.8638  80.1681  300 
-91.1459  83.1933  300 
-89.6188  86.2185  300 
-89.2437  86.7145  300 
-86.752  89.2437  300 
-86.2185  89.6532  300 
-83.1933  91.2425  300 
-80.1681  92.0444  300 
-77.1429  92.2379  300 
-74.1176  91.9413  300 
-71.0924  91.2469  300 
-68.0672  90.2561  300 
-65.4698  89.2437  300 
-65.042  89.0768  300 
-62.0168  87.8012  300 
-58.9916  86.5309  300 
-58.2365  86.2185  300 
-55.9664  85.2894  300 
-52.9412  84.0968  300 
-50.6149  83.1933  300 
-49.916  82.9251  300 
-46.8908  81.7564  300 
-43.8655  80.5875  300 
-42.7809  80.1681  300 
-40.8403  79.4153  300 
-37.8151  78.2603  300 
-34.8832  77.1429  300 
-34.7899  77.1065  300 
-31.7647  75.9185  300 
-28.7395  74.6978  300 
-27.3413  74.1176  300 
-25.7143  73.4146  300 
-22.6891  72.0582  300 
-20.6178  71.0924  300 
-19.6639  70.6324  300 
-16.6387  69.155  300 
-14.4276  68.0672  300 
-13.6134  67.6605  300 
-10.5882  66.1441  300 
-8.43047  65.042  300 
-7.56303  64.5911  300 
-4.53782  62.9615  300 
-2.87898  62.0168  300 
-1.51261  61.2038  300 
 1.51261  59.2116  300 
 1.8183  58.9916  300 
 4.53782  56.9276  300 
 5.76166  55.9664  300 
 7.56303  54.5208  300 
 9.51841  52.9412  300 
 10.5882  52.0728  300 
 13.2715  49.916  300 
 13.6134  49.6409  300 
 16.6387  47.2429  300 
 17.0899  46.8908  300 
 19.6639  44.8529  300 
 20.915  43.8655  300 
 22.6891  42.417  300 
 24.609  40.8403  300 
 25.7143  39.8837  300 
 28.0915  37.8151  300 
 28.7395  37.2163  300 
 31.3133  34.7899  300 
 31.7647  34.3374  300 
 34.2224  31.7647  300 
 34.7899  31.1425  300 
 36.861  28.7395  300 
 37.8151  27.6097  300 
 39.3312  25.7143  300 
 40.8403  23.8232  300 
 41.7047  22.6891  300 
 43.8655  19.8588  300 
 44.0099  19.6639  300 
 46.2786  16.6387  300 
 46.8908  15.8325  300 
 48.5588  13.6134  300 
 49.916  11.8364  300 
 50.8652  10.5882  300 
 52.9412  7.88678  300 

 89.4362 -86.2185  300 
 89.2437 -86.456  300 
 86.3547 -89.2437  300 
 86.2185 -89.3462  300 
 83.1933 -90.9699  300 
 80.1681 -91.8312  300 
 77.1429 -92.0871  300 
 74.1176 -91.852  300 
 71.0924 -91.2196  300 
 68.0672 -90.2922  300 
 65.2154 -89.2437  300 
