
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$6)"

# Contour 0, label:      1.3
-27.7553 -9.09091  1.4 
-29.7106 -5.45455  1.4 
-30.9091 -3.201  1.4 
-31.6356 -1.81818  1.4 
-33.7225  1.81818  1.4 
-34.5455  3.08585  1.4 
-36.3115  5.45455  1.4 
-38.1818  7.86957  1.4 
-39.3352  9.09091  1.4 
-41.8182  12.1681  1.4 
-42.3249  12.7273  1.4 
-44.8568  16.3636  1.4 
-45.4545  17.5027  1.4 
-46.7399  20  1.4 
-48.0299  23.6364  1.4 
-48.8225  27.2727  1.4 
-49.0909  30.1143  1.4 
-49.1596  30.9091  1.4 
-49.0909  33.1279  1.4 
-49.0464  34.5455  1.4 
-48.4135  38.1818  1.4 
-47.0331  41.8182  1.4 
-45.4545  44.0806  1.4 
-44.004  45.4545  1.4 
-41.8182  46.8639  1.4 
-38.1818  48.0985  1.4 
-34.5455  48.597  1.4 
-30.9091  48.5935  1.4 
-27.2727  48.1734  1.4 
-23.6364  47.3948  1.4 
-20  46.3578  1.4 
-17.1317  45.4545  1.4 
-16.3636  45.2165  1.4 
-12.7273  44.0093  1.4 
-9.09091  42.5264  1.4 
-7.68357  41.8182  1.4 
-5.45455  40.75  1.4 
-1.81818  38.7231  1.4 
-0.856908  38.1818  1.4 
 1.81818  36.7232  1.4 
 5.45455  34.6793  1.4 
 5.67663  34.5455  1.4 
 9.09091  32.3358  1.4 
 10.9465  30.9091  1.4 
 12.7273  29.4285  1.4 
 14.8465  27.2727  1.4 
 16.3636  25.6646  1.4 
 17.9772  23.6364  1.4 
 20  21.0646  1.4 
 20.749  20  1.4 
 23.3104  16.3636  1.4 
 23.6364  15.8899  1.4 
 25.6322  12.7273  1.4 
 27.2727  9.95372  1.4 
 27.7553  9.09091  1.4 
 29.7106  5.45455  1.4 
 30.9091  3.201  1.4 
 31.6356  1.81818  1.4 
 33.7225 -1.81818  1.4 
 34.5455 -3.08585  1.4 
 36.3115 -5.45455  1.4 
 38.1818 -7.86957  1.4 


# Contour 2, label:      1.5
-38.1818  66.6838  1.5 
-36.2723  67.2727  1.5 
-34.5455  67.8612  1.5 
-30.9091  69.0942  1.5 
-27.2727  70.2006  1.5 
-24.286  70.9091  1.5 
-23.6364  71.0869  1.5 
-20  71.6622  1.5 
-16.3636  71.7418  1.5 
-12.7273  71.2784  1.5 
-11.377  70.9091  1.5 
-9.09091  70.3288  1.5 
-5.45455  68.9234  1.5 
-2.37802  67.2727  1.5 
-1.81818  66.9865  1.5 
 1.81818  64.449  1.5 
 2.68308  63.6364  1.5 
 5.45455  61.001  1.5 
 6.33153  60  1.5 
 9.09091  57.1054  1.5 
 9.75857  56.3636  1.5 
 12.7273  53.6159  1.5 
 13.7135  52.7273  1.5 
 16.3636  50.6715  1.5 
 18.4115  49.0909  1.5 
 20  47.9206  1.5 
 22.9242  45.4545  1.5 
 23.6364  44.7978  1.5 
 26.3377  41.8182  1.5 
 27.2727  40.58  1.5 
 28.9857  38.1818  1.5 
 30.9091  35.2257  1.5 
 31.3659  34.5455  1.5 
 33.7703  30.9091  1.5 
 34.5455  29.7233  1.5 
 36.2918  27.2727  1.5 
 38.1818  24.5254  1.5 
 38.8612  23.6364  1.5 
 41.4926  20  1.5 
 41.8182  19.5197  1.5 
 44.3497  16.3636  1.5 
 45.4545  15.0095  1.5 
 47.9654  12.7273  1.5 
 49.0909  11.8073  1.5 
 52.7273  9.80384  1.5 
 54.5095  9.09091  1.5 
 56.3636  8.40528  1.5 
 60  7.07182  1.5 
 63.2905  5.45455  1.5 
 63.6364  5.24936  1.5 
 67.2727  2.15867  1.5 
 67.5981  1.81818  1.5 
 70.0451 -1.81818  1.5 
 70.9091 -3.7195  1.5 
 71.7244 -5.45455  1.5 
 72.923 -9.09091  1.5 
 73.6367 -12.7273  1.5 
 73.8202 -16.3636  1.5 
 73.4322 -20  1.5 
 72.5309 -23.6364  1.5 
 71.2947 -27.2727  1.5 

 71.2947 -27.2727  1.5 
 70.9091 -28.2215  1.5 
 69.9656 -30.9091  1.5 
 68.5968 -34.5455  1.5 
 67.2728 -38.1818  1.5 
 66.1947 -41.8182  1.5 
 65.3156 -45.4545  1.5 
 64.4734 -49.0909  1.5 
 63.6364 -52.2224  1.5 
 63.4933 -52.7273  1.5 
 62.0356 -56.3636  1.5 
 60 -59.6557  1.5 
 59.6412 -60  1.5 
 56.3636 -61.8979  1.5 
 52.7273 -63.248  1.5 
 51.2264 -63.6364  1.5 
 49.0909 -64.1603  1.5 
 45.4545 -64.9133  1.5 
 41.8182 -65.6969  1.5 
 38.1818 -66.6838  1.5 
 36.2723 -67.2727  1.5 
 34.5455 -67.8612  1.5 
 30.9091 -69.0942  1.5 
 27.2727 -70.2006  1.5 
 24.286 -70.9091  1.5 
 23.6364 -71.0869  1.5 
 20 -71.6622  1.5 
 16.3636 -71.7418  1.5 
 12.7273 -71.2784  1.5 
 11.377 -70.9091  1.5 
 9.09091 -70.3288  1.5 
 5.45455 -68.9234  1.5 
 2.37802 -67.2727  1.5 
 1.81818 -66.9865  1.5 
-1.81818 -64.449  1.5 
-2.68308 -63.6364  1.5 
-5.45455 -61.001  1.5 
-6.33153 -60  1.5 
-9.09091 -57.1054  1.5 
-9.75857 -56.3636  1.5 
-12.7273 -53.6159  1.5 
