
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
-35.5927  16.6387  500 
-37.1565  19.6639  500 
-37.8151  20.9833  500 
-38.6663  22.6891  500 
-40.1496  25.7143  500 
-40.8403  27.1712  500 
-41.5568  28.7395  500 
-42.8188  31.7647  500 
-43.8655  34.5936  500 
-43.932  34.7899  500 
-44.5196  37.8151  500 
-44.4272  40.8403  500 
-43.8655  42.2219  500 
-42.4082  43.8655  500 
-40.8403  44.626  500 
-37.8151  44.8077  500 
-34.7899  44.2508  500 
-33.6177  43.8655  500 
-31.7647  43.2003  500 
-28.7395  41.905  500 
-26.4224  40.8403  500 
-25.7143  40.5033  500 
-22.6891  38.9561  500 
-20.4749  37.8151  500 
-19.6639  37.3978  500 
-16.6387  35.7474  500 
-14.9838  34.7899  500 
-13.6134  33.9905  500 
-10.5882  32.1012  500 
-10.0872  31.7647  500 
-7.56303  30.0418  500 
-5.72378  28.7395  500 
-4.53782  27.8787  500 
-1.64611  25.7143  500 
-1.51261  25.6115  500 
 1.51261  23.1687  500 
 2.07959  22.6891  500 
 4.53782  20.5523  500 
 5.51737  19.6639  500 
 7.56303  17.785  500 
 8.7712  16.6387  500 
 10.5882  14.919  500 
 11.9448  13.6134  500 
 13.6134  12.0134  500 
 15.0973  10.5882  500 
 16.6387  9.09158  500 
 18.208  7.56303  500 


# Contour 2, label:      400
-68.0672  69.6749  400 
-65.042  70.8817  400 
-62.0168  71.0636  400 
-58.9916  70.7778  400 
-55.9664  70.2053  400 
-52.9412  69.4288  400 
-49.916  68.5095  400 
-48.6272  68.0672  400 
-46.8908  67.4434  400 
-43.8655  66.2914  400 
-40.8403  65.1139  400 
-40.664  65.042  400 
-37.8151  63.8364  400 
-34.7899  62.5404  400 
-33.6186  62.0168  400 
-31.7647  61.1622  400 
-28.7395  59.7126  400 
-27.2952  58.9916  400 
-25.7143  58.1822  400 
-22.6891  56.6013  400 
-21.4771  55.9664  400 
-19.6639  54.9887  400 
-16.6387  53.3509  400 
-15.9006  52.9412  400 
-13.6134  51.6153  400 
-10.8075  49.916  400 
-10.5882  49.7777  400 
-7.56303  47.7711  400 
-6.30988  46.8908  400 
-4.53782  45.6106  400 
-2.22751  43.8655  400 
-1.51261  43.3186  400 
 1.51261  40.9806  400 
 1.69539  40.8403  400 
 4.53782  38.6863  400 
 5.66752  37.8151  400 
 7.56303  36.3335  400 
 9.47884  34.7899  400 
 10.5882  33.8657  400 
 13.0248  31.7647  400 
 13.6134  31.2348  400 
 16.3007  28.7395  400 
 16.6387  28.4122  400 
 19.383  25.7143  400 
 19.6639  25.4302  400 
 22.4289  22.6891  400 
 22.6891  22.4363  400 
 25.5991  19.6639  400 
 25.7143  19.5563  400 
 28.7395  16.6451  400 
 28.746  16.6387  400 
 31.7123  13.6134  400 
 31.7647  13.5583  400 
 34.4707  10.5882  400 
 34.7899  10.2258  400 
 37.0647  7.56303  400 
 37.8151  6.6587  400 
 39.5659  4.53782  400 
 40.8403  2.97317  400 
 42.0658  1.51261  400 
 43.8655 -0.592349  400 
 44.6549 -1.51261  400 
 46.8908 -4.18515  400 
 47.1772 -4.53782  400 
 49.4856 -7.56303  400 
 49.916 -8.16989  400 
 51.5423 -10.5882  400 
 52.9412 -12.8325  400 
 53.4016 -13.6134  400 
 55.1017 -16.6387  400 
 55.9664 -18.2157  400 
 56.7315 -19.6639  400 
 58.3709 -22.6891  400 
 58.9916 -23.8185  400 
 60.0283 -25.7143  400 
 61.638 -28.7395  400 
 62.0168 -29.482  400 
 63.159 -31.7647  400 
 64.6134 -34.7899  400 
 65.042 -35.7128  400 
 65.9909 -37.8151  400 
 67.3249 -40.8403  400 
 68.0672 -42.5668  400 
 68.6 -43.8655  400 
 69.7788 -46.8908  400 
 70.8948 -49.916  400 
 71.0924 -50.5106  400 
 71.8655 -52.9412  400 
 72.7234 -55.9664  400 
 73.4867 -58.9916  400 
 74.1176 -61.7836  400 
 74.1707 -62.0168  400 
 74.7049 -65.042  400 
 75.0601 -68.0672  400 
 75.0094 -71.0924  400 

 75.0094 -71.0924  400 
 74.1176 -73.5768  400 
 73.6275 -74.1176  400 
 71.0924 -75.1342  400 
 68.0672 -75.2879  400 
 65.042 -75.018  400 
 62.0168 -74.5465  400 
 59.8859 -74.1176  400 
 58.9916 -73.937  400 
 55.9664 -73.1835  400 
 52.9412 -72.3335  400 
 49.916 -71.39  400 
 49.0526 -71.0924  400 
 46.8908 -70.3083  400 
 43.8655 -69.1478  400 
 41.1498 -68.0672  400 
 40.8403 -67.9376  400 
 37.8151 -66.6264  400 
 34.7899 -65.299  400 
 34.2253 -65.042  400 
 31.7647 -63.8829  400 
 28.7395 -62.4074  400 
 27.9722 -62.0168  400 
 25.7143 -60.8362  400 
 22.6891 -59.2132  400 
 22.2751 -58.9916  400 
 19.6639 -57.5823  400 
 16.6387 -55.9919  400 
 16.5906 -55.9664  400 
