
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:( ($6 != 0 ? -$6 : 1.6) )"

# Contour 0, label:      1.3
 34.5455 -48.0119  1.4 
 30.9091 -48.2521  1.4 
 27.2727 -48.0979  1.4 
 23.6364 -47.6992  1.4 
 20 -47.1818  1.4 
 16.3636 -46.5921  1.4 
 12.7273 -45.7835  1.4 
 11.7682 -45.4545  1.4 
 9.09091 -44.5132  1.4 
 5.45455 -42.5518  1.4 
 4.40694 -41.8182  1.4 
 1.81818 -40.2473  1.4 
-1.81818 -38.2894  1.4 
-2.06711 -38.1818  1.4 
-5.45455 -36.8163  1.4 
-9.09091 -35.236  1.4 
-10.44 -34.5455  1.4 
-12.7273 -33.1386  1.4 
-15.3144 -30.9091  1.4 
-16.3636 -29.8685  1.4 
-18.5339 -27.2727  1.4 
-20 -25.5999  1.4 
-21.8984 -23.6364  1.4 
-23.6364 -22.1618  1.4 
-26.9215 -20  1.4 
-27.2727 -19.7836  1.4 
-30.9091 -17.6113  1.4 
-32.9153 -16.3636  1.4 
-34.5455 -14.9813  1.4 
-36.4795 -12.7273  1.4 
-38.1818 -10.184  1.4 
-38.8042 -9.09091  1.4 
-41.0134 -5.45455  1.4 
-41.8182 -4.27584  1.4 
-44.0083 -1.81818  1.4 
-45.4545 -0.5316  1.4 
-48.63  1.81818  1.4 
-49.0909  2.19582  1.4 
-52.5354  5.45455  1.4 
-52.7273  5.73295  1.4 
-54.2811  9.09091  1.4 
-55.3469  12.7273  1.4 
-56.1589  16.3636  1.4 
-56.3636  17.8338  1.4 
-56.5943  20  1.4 
-56.5701  23.6364  1.4 
-56.3636  26.2034  1.4 
-56.2601  27.2727  1.4 
-55.733  30.9091  1.4 
-55.017  34.5455  1.4 
-54.0688  38.1818  1.4 
-52.8124  41.8182  1.4 
-52.7273  42.0012  1.4 
-50.7681  45.4545  1.4 
-49.0909  47.3211  1.4 
-46.8824  49.0909  1.4 
-45.4545  49.9208  1.4 
-41.8182  51.4649  1.4 
-38.1818  52.643  1.4 
-37.8754  52.7273  1.4 
-34.5455  53.598  1.4 
-30.9091  54.3361  1.4 
-27.2727  54.6195  1.4 
-23.6364  53.9452  1.4 
-21.7783  52.7273  1.4 
-20  51.4498  1.4 
-17.6552  49.0909  1.4 
-16.3636  48.0219  1.4 
-12.9309  45.4545  1.4 
-12.7273  45.3329  1.4 
-9.09091  43.389  1.4 
-5.45455  41.9922  1.4 
-4.89504  41.8182  1.4 
-1.81818  40.7515  1.4 
 1.81818  39.4394  1.4 
 5.02236  38.1818  1.4 
 5.45455  37.9499  1.4 
 9.09091  36.0506  1.4 
 11.7499  34.5455  1.4 
 12.7273  33.6764  1.4 
 15.2012  30.9091  1.4 
 16.3636  28.9675  1.4 
